root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
21:41:20.521023 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 15916:15952, ack 1, win 501, length 36
21:41:20.521055 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 15952:16124, ack 1, win 501, length 172
21:41:20.521094 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16124:16332, ack 1, win 501, length 208
21:41:20.521133 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16332:16368, ack 1, win 501, length 36
21:41:20.521179 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16368:16540, ack 1, win 501, length 172
21:41:20.521211 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16540:16576, ack 1, win 501, length 36
21:41:20.521251 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16576:16748, ack 1, win 501, length 172
21:41:20.521288 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16748:16784, ack 1, win 501, length 36
21:41:20.521335 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16784:16956, ack 1, win 501, length 172
21:41:20.521372 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16956:16992, ack 1, win 501, length 36
21:41:20.521420 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 16992:17164, ack 1, win 501, length 172
21:41:20.521456 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17164:17200, ack 1, win 501, length 36
21:41:20.521503 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17200:17372, ack 1, win 501, length 172
21:41:20.521535 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17372:17408, ack 1, win 501, length 36
21:41:20.521571 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17408:17580, ack 1, win 501, length 172
21:41:20.521599 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17580:17616, ack 1, win 501, length 36
21:41:20.521631 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17616:17788, ack 1, win 501, length 172
21:41:20.521657 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17788:17824, ack 1, win 501, length 36
21:41:20.521692 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17824:17996, ack 1, win 501, length 172
21:41:20.521718 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 17996:18032, ack 1, win 501, length 36
21:41:20.521751 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18032:18204, ack 1, win 501, length 172
21:41:20.521778 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18204:18240, ack 1, win 501, length 36
21:41:20.521811 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18240:18412, ack 1, win 501, length 172
21:41:20.521838 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18412:18448, ack 1, win 501, length 36
21:41:20.521881 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18448:18620, ack 1, win 501, length 172
21:41:20.521911 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18620:18656, ack 1, win 501, length 36
21:41:20.521947 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18656:18828, ack 1, win 501, length 172
21:41:20.521996 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18828:18864, ack 1, win 501, length 36
21:41:20.522013 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 18864:19036, ack 1, win 501, length 172
21:41:20.522042 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 19036:19072, ack 1, win 501, length 36
21:41:20.522076 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 19072:19244, ack 1, win 501, length 172
21:41:20.525669 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 10992, win 8246, length 0
21:41:20.525708 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 19244:23440, ack 1, win 501, length 4196
21:41:20.525807 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 23440:23596, ack 1, win 501, length 156
